xmin	xmax	clickSelects	group
1325350800	1328029200	janvier 2012	36
1328029200	1330534800	février 2012	37
1330534800	1333213200	mars 2012	38
1333213200	1335805200	avril 2012	39
1335805200	1338483600	mai 2012	40
1338483600	1341075600	juin 2012	41
1341075600	1343754000	juillet 2012	42
1343754000	1346432400	août 2012	43
1346432400	1349024400	septembre 2012	44
1349024400	1351702800	octobre 2012	45
1351702800	1354294800	novembre 2012	46
1354294800	1356973200	décembre 2012	47
1356973200	1359651600	janvier 2013	48
1359651600	1362070800	février 2013	49
1362070800	1364749200	mars 2013	50
1364749200	1367341200	avril 2013	51
1367341200	1370019600	mai 2013	52
1370019600	1372611600	juin 2013	53
1372611600	1375290000	juillet 2013	54
1375290000	1377968400	août 2013	55
1377968400	1380560400	septembre 2013	56
1380560400	1383238800	octobre 2013	57
1383238800	1385830800	novembre 2013	58
1385830800	1388509200	décembre 2013	59
1388509200	1391187600	janvier 2014	60
1391187600	1393606800	février 2014	61
1393606800	1396285200	mars 2014	62
1396285200	1398877200	avril 2014	63
1398877200	1401555600	mai 2014	64
1401555600	1404147600	juin 2014	65
1404147600	1406826000	juillet 2014	66
1406826000	1409504400	août 2014	67
1409504400	1412096400	septembre 2014	68
1412096400	1414774800	octobre 2014	69
1414774800	1417366800	novembre 2014	70
1417366800	1420045200	décembre 2014	71
1230742800	1233421200	janvier 2009	1
1233421200	1235840400	février 2009	2
1235840400	1238518800	mars 2009	3
1238518800	1241110800	avril 2009	4
1241110800	1243789200	mai 2009	5
1243789200	1246381200	juin 2009	6
1246381200	1249059600	juillet 2009	7
1249059600	1251738000	août 2009	8
1251738000	1254330000	septembre 2009	9
1254330000	1257008400	octobre 2009	10
1257008400	1259600400	novembre 2009	11
1259600400	1262278800	décembre 2009	12
1262278800	1264957200	janvier 2010	13
1264957200	1267376400	février 2010	14
1267376400	1270054800	mars 2010	15
1270054800	1272646800	avril 2010	16
1272646800	1275325200	mai 2010	17
1275325200	1277917200	juin 2010	18
1277917200	1280595600	juillet 2010	19
1280595600	1283274000	août 2010	20
1283274000	1285866000	septembre 2010	21
1285866000	1288544400	octobre 2010	22
1288544400	1291136400	novembre 2010	23
1291136400	1293814800	décembre 2010	24
1293814800	1296493200	janvier 2011	25
1296493200	1298912400	février 2011	26
1298912400	1301590800	mars 2011	27
1301590800	1304182800	avril 2011	28
1304182800	1306861200	mai 2011	29
1306861200	1309453200	juin 2011	30
1309453200	1312131600	juillet 2011	31
1312131600	1314810000	août 2011	32
1314810000	1317402000	septembre 2011	33
1317402000	1320080400	octobre 2011	34
1320080400	1322672400	novembre 2011	35
