colour	x	y	label	clickSelects	showSelected1	PANEL	group
#8DD3C7	1342285200	5543.93548387097	Berri	Berri	Berri	2	1
#FFFFB3	1250269200	5525.83870967742	Br√©beuf	Br√©beuf	Br√©beuf	2	2
#80B1D3	1308070800	3898.83333333333	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#FDB462	1310662800	6406.25806451613	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#D9D9D9	1273856400	2792.1935483871	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#BEBADA	1368550800	2307.38709677419	CÙte-Sainte-Catherine	CÙte-Sainte-Catherine	CÙte-Sainte-Catherine	2	3
#FB8072	1316019600	3430.3	du Parc	du Parc	du Parc	2	4
#B3DE69	1310662800	2947.77419354839	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#FCCDE5	1373821200	5726.38709677419	Rachel	Rachel	Rachel	2	8
#BC80BD	1373821200	3538.38709677419	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
